genus_id,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample025,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample068,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100
Acidaminococcus,0,0,0,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Adlercreutzia,0,2,2,0,0,16,0,8,11,19,3,2,0,0,29,1,15,0,1,0,1,0,0,0,1,0,1,2,10,0,1,1,21,0,6,1,1,8,0,8,0,0,3,57,0,0,0,1,0,0,1,25,6,11,2,16,4,2,5,1,8,37,0,0,0,33,0,1,1,9,1,0,0,0,1,1,2,0,5,9,0,1,0,44,5,0,3,1,0,3,0,4,43,3,1,0,2,15,4,0
Agathobacter,9300,2534,336,1783,1879,62,109,1155,2849,1016,126,960,3255,140,3412,541,126,73,714,1153,5289,629,140,1442,1354,157,130,3651,487,415,1057,2530,329,877,113,165,972,1729,406,892,1244,832,5355,527,419,598,1366,2887,9063,188,176,9156,74,567,381,445,434,712,4066,2901,161,250,1045,1439,2372,1309,630,697,2406,455,171,728,34,1420,2647,203,281,9,822,2385,576,2005,1056,563,462,1110,1894,1279,436,1433,2288,1851,6014,337,124,189,478,424,37,496
Aggregatibacter,12,0,4,0,0,0,1,0,3,1,0,0,0,8,0,0,15,15,0,0,1,1,28,0,1,0,1,0,2,1,0,0,0,23,2,1,0,0,0,0,47,1,2,0,0,0,1,3,1,0,0,1,816,0,0,1,0,1,0,0,21,2,7,0,0,1,0,1,1,25,69,0,0,0,6,0,1,0,0,1,1,0,2,0,2,1,22,1,0,0,0,11,0,2,8,0,1,1,0,3
Akkermansia,1436,0,0,48,1,33,7289,5,910,11,5,17,7,13,1,3283,1593,29,1,11,5,0,2077,484,4,60,1802,1,14,3,1,15,2231,17,0,3,1028,65,0,478,31,440,2,1036,14563,11,2,1,55,175,337,66,778,19,7,147,3,24,5,3,78,16,4,31,4617,12,1,2914,11,6061,3,2,15,6,1,1812,2,12,2175,41,0,16,276,0,52,11,1,1389,2012,1,2004,88,23,3,1,0,191,91,39,4
Alistipes,12,2665,17,1248,2591,53,566,682,1052,150,3669,761,30,47,38,1988,10,47,164,71,311,40,5504,41,5307,829,96,175,1016,44,509,11,6772,31,386,686,3999,733,29,160,1874,2747,457,542,844,99,34,1604,1290,757,439,835,1861,839,2775,46,1246,2556,242,574,249,166,823,1537,660,208,821,2287,281,865,483,42,1790,518,93,2221,19,2503,280,1072,1354,39,2106,1152,2039,363,1098,1065,91,25,884,12,764,138,403,236,64,3572,247,840
Alloprevotella,1,12,0,0,1,7,0,1,0,1,1,0,3,45,15,1,2,2,0,4,2,1,5,5,0,0,3,3608,0,2,2,1,0,2,2,0,0,1,69,1,0,1,0,0,1,0,1,74,3,16,0,4,10,3,1,2,1,2,3,8,37,1,3,4,0,2,2,0,2,1,0,223,0,2,1,0,3,1,1,3,4,0,2,2,3,865,2,3,1,2,0,0,2,3,2,3,0,152,1,2
Anaerostipes,109,254,508,91,50,248,260,395,12,16,212,239,75,1187,76,86,119,507,154,156,180,648,129,254,44,221,96,233,434,142,49,140,179,195,107,420,220,351,774,858,37,53,332,127,32,497,383,48,316,67,655,190,311,40,145,561,278,591,818,87,59,377,16,31,153,1178,55,88,402,91,210,345,184,3906,249,974,1020,28,164,355,228,496,38,575,451,526,538,791,160,86,807,191,229,282,122,210,388,99,46,123
Anaerotruncus,1,2,0,0,2,0,16,1,0,1,0,2,11,0,1,0,0,22,5,0,8,0,0,0,4,59,1,1,4,0,2,0,0,0,0,4,0,5,0,2,10,2,1,0,2,0,4,1,0,0,3,0,2,0,0,0,1,0,6,0,0,0,2,0,0,2,2,0,0,0,0,1,3,0,0,4,5,0,0,0,7,0,0,1,6,0,0,7,0,0,2,0,0,5,1,0,1,3,0,0
Bacteroidales_RF16_group/uncultured_bacterium,1,187,1,32,0,1,2,0,1,0,2,1,0,7,437,2,0,1,0,0,0,1,137,1,0,1,5,2,1,1,0,482,0,2,2,1,0,1,4,444,0,119,260,1,1,2,0,0,2,4,1,0,7,2,0,0,1,2,1,2,0,1,312,5,0,0,0,2,1,1,3,274,2,184,0,219,1,0,0,1,3,1,0,1,0,1,1,1,289,0,2,19,0,1,0,0,4,1,3,3
